upasarga_id,upasarga_order,source_forms_slp1,engine_input_slp1,source_code,gana,aupadeshika_slp1,source_artha_slp1,engine_status,output_forms_slp1,output_variant_count
pra,1,pra,pra,01.0164,BvAdi,rigi~,gatO,generated,prariNg,1
pra,1,pra,pra,01.0165,BvAdi,ligi~,gatO,generated,praliNg,1
pra,1,pra,pra,01.0166,BvAdi,KarKa~,hasane,generated,praKarK,1
pra,1,pra,pra,01.0167,BvAdi,kakKa,hasane,generated,prakakKa,1
pra,1,pra,pra,01.0168,BvAdi,riKa~,gatO,generated,prariK,1
pra,1,pra,pra,01.0169,BvAdi,Garba~,gatO,generated,praGarb,1
pra,1,pra,pra,01.0170,BvAdi,narba~,gatO,generated,pranarb,1
pra,1,pra,pra,01.0171,BvAdi,Barba~,gatO,generated,praBarb,1
pra,1,pra,pra,01.0172,BvAdi,traKa~,gatO,generated,pratraK,1
pra,1,pra,pra,01.0173,BvAdi,triKi~,gatO,generated,pratriNK,1
pra,1,pra,pra,01.0174,BvAdi,SiKi~,gatO,generated,praSiNK,1
pra,1,pra,pra,01.0175,BvAdi,yugi~,varjane,generated,prayuNg,1
pra,1,pra,pra,01.0176,BvAdi,jugi~,varjane,generated,prajuNg,1
pra,1,pra,pra,01.0177,BvAdi,bugi~,varjane,generated,prabuNg,1
pra,1,pra,pra,01.0178,BvAdi,vugi~,varjane,generated,pravuNg,1
pra,1,pra,pra,01.0179,BvAdi,GaGa~,hasane,generated,praGaG,1
pra,1,pra,pra,01.0180,BvAdi,GagGa~,hasane,generated,praGagG,1
pra,1,pra,pra,01.0181,BvAdi,varba~,gatO,generated,pravarb,1
pra,1,pra,pra,01.0182,BvAdi,baBra~,gatO,generated,prabaBr,1
pra,1,pra,pra,01.0183,BvAdi,maGi~,maRqane,generated,pramaNG,1
pra,1,pra,pra,01.0184,BvAdi,SiGi~,AGrARe,generated,praSiNG,1
pra,1,pra,pra,01.0185,BvAdi,maja~,Sabde,generated,pramaj,1
pra,1,pra,pra,01.0186,BvAdi,varca~\,dIptO,generated,pravarc,1
pra,1,pra,pra,01.0187,BvAdi,zaca~\,secane sevane ca,generated,prasac,1
pra,1,pra,pra,01.0188,BvAdi,locf~\,darSane,generated,praloc,1
pra,1,pra,pra,01.0189,BvAdi,Saca~\,vyaktAyAM vAci,generated,praSac,1
pra,1,pra,pra,01.0190,BvAdi,Svaca~\,gatO,generated,praSvac,1
pra,1,pra,pra,01.0191,BvAdi,Svaci~\,gatO,generated,praSvaYc,1
pra,1,pra,pra,01.0192,BvAdi,kaca~\,banDane,generated,prakac,1
pra,1,pra,pra,01.0193,BvAdi,kaci~\,dIptibanDanayoH,generated,prakaYc,1
pra,1,pra,pra,01.0194,BvAdi,kAci~\,dIptibanDanayoH,generated,prakAYc,1
pra,1,pra,pra,01.0195,BvAdi,maca~\,kalkane kaTane ca,generated,pramac,1
pra,1,pra,pra,01.0196,BvAdi,muci~\,kalkane kaTane ca,generated,pramuYc,1
pra,1,pra,pra,01.0197,BvAdi,maci~\,DAraRocCrAyapUjanezu,generated,pramaYc,1
pra,1,pra,pra,01.0198,BvAdi,paci~\,vyaktIkaraRe,generated,prapaYc,1
pra,1,pra,pra,01.0199,BvAdi,zwuca~\,prasAde,generated,prastuc,1
pra,1,pra,pra,01.0200,BvAdi,fja~\,gatisTAnArjanopArjanezu,generated,prArj,1
pra,1,pra,pra,01.0201,BvAdi,fji~\,Barjane,generated,prArYj,1
pra,1,pra,pra,01.0202,BvAdi,BfjI~\,Barjane,generated,praBfj,1
pra,1,pra,pra,01.0203,BvAdi,ejf~\,dIptO,generated,prej,1
pra,1,pra,pra,01.0204,BvAdi,Brejf~\,dIptO,generated,praBrej,1
pra,1,pra,pra,01.0205,BvAdi,BrAjf~\,dIptO,generated,praBrAj,1
pra,1,pra,pra,01.0206,BvAdi,kAqf~\,anAdare,generated,prakAq,1
