root,valency_path_c,total_tokens,distinct_preverbs,distinct_pratyayas
gūhay,7,12,4,4
syanday,7,12,3,4
ṣyanday,7,12,4,3
kṛś,7,11,3,5
pru,7,11,4,5
pruth,7,11,3,5
rambhay,7,11,5,3
yāmay,7,10,3,5
kuṭ,7,9,5,3
ṣkand,7,8,3,5
unnam,6,333,1,6
mahīy,6,300,1,6
abhipre,6,186,1,6
ślāgh,6,186,1,6
aṅkay,6,183,1,6
pinv,6,182,1,6
guṇay,6,160,3,4
mṛḍ,6,131,1,6
abhyudi,6,121,1,6
vinirdiś,6,118,1,6
ṣpad,6,115,1,6
dās,6,99,2,5
ullikh,6,96,1,6
prāśay,6,95,1,6
uccar,6,95,1,6
prās,6,94,1,6
jū,6,88,1,6
ej,6,85,1,6
vinirgam,6,76,1,6
samupe,6,73,1,6
pratyudgam,6,72,1,6
anvīkṣ,6,71,1,6
pratye,6,71,1,6
mṛḍay,6,67,1,6
pratīṣ,6,67,1,6
spṛhay,6,66,1,6
lul,6,65,6,1
udvap,6,64,1,6
dohay,6,62,2,5
vāmay,6,61,1,6
prā,6,60,2,5
abhiniṣkram,6,59,1,6
kath,6,57,1,6
samuttejay,6,57,1,6
samavekṣ,6,56,1,6
stubh,6,56,2,5
ṣpīḍay,6,56,1,6
āviṣkṛ,6,55,1,6
ścar,6,55,1,6
iṣay,6,54,1,6
uc,6,53,3,4
vṛṣāy,6,52,2,5
cihnay,6,50,4,3
dhūrv,6,50,1,6
proh,6,50,1,6
udbhid,6,49,1,6
viparyas,6,49,1,6
samudīray,6,48,1,6
upasaṃpad,6,48,1,6
siṣās,6,46,2,5
sthagay,6,46,1,6
viniṣkram,6,45,1,6
ṛj,6,44,1,6
purodhā,6,43,1,6
ṣūday,6,43,4,4
t￞,6,41,1,6
ghṛ,6,38,3,3
piś,6,37,2,5
duvasy,6,36,1,6
tuj,6,36,2,5
unnamay,6,36,1,6
abhinirvartay,6,35,1,6
arhay,6,35,2,5
nartay,6,35,3,4
sukhay,6,34,2,6
udūh,6,33,1,6
mārgay,6,31,1,6
marmṛj,6,30,2,5
prativyūh,6,30,1,6
ullaṅghay,6,30,1,6
kṣu,6,28,3,4
luṭh,6,28,3,5
bhas,6,27,2,5
