root,valency_path_c,total_tokens,distinct_preverbs,distinct_pratyayas
janiy,1,1,1,1
jarjaray,1,1,1,1
jayadhvajāy,1,1,1,1
jañj,1,1,1,1
jaṭilay,1,1,1,1
jaṭīkṛ,1,1,1,1
jegīy,1,1,1,1
jigrahayiṣ,1,1,1,1
jigās,1,1,1,1
jihmāy,1,1,1,1
jri,1,1,1,1
jugukṣ,1,1,1,1
jvālāy,1,1,1,1
jyut,1,1,1,1
jñīps,1,1,1,1
jājṛmbh,1,1,1,1
jālāy,1,1,1,1
jīrṇay,1,1,1,1
kacakac,1,1,1,1
kacay,1,1,1,1
kadalīvanāy,1,1,1,1
kalpalatāvanāy,1,1,1,1
kalpāy,1,1,1,1
kalāpāy,1,1,1,1
kamalāy,1,1,1,1
kapilāy,1,1,1,1
kapiśay,1,1,1,1
karadīkṛ,1,1,1,1
kavacay,1,1,1,1
kaṇakaṇāy,1,1,1,1
kaṇūkay,1,1,1,1
kaṣay,1,1,1,1
kaṣāyīkṛ,1,1,1,1
kaṭākṣay,1,1,1,1
kekāy,1,1,1,1
kelay,1,1,1,1
khaj,1,1,1,1
khallay,1,1,1,1
khanakhanāy,1,1,1,1
kharj,1,1,1,1
kharāy,1,1,1,1
khaṭṭāy,1,1,1,1
khoṭay,1,1,1,1
khud,1,1,1,1
khurakhurāy,1,1,1,1
khurukhurāy,1,1,1,1
khātay,1,1,1,1
kilakilāy,1,1,1,1
kiṃkarīkṛ,1,1,1,1
kiṭakiṭāy,1,1,1,1
kiṭṭāy,1,1,1,1
klāmay,1,1,1,1
knopay,1,1,1,1
kokūj,1,1,1,1
kokūy,1,1,1,1
krośay,1,1,1,1
krāth,1,1,1,1
krāthay,1,1,1,1
kuhukuhāy,1,1,1,1
kulyāy,1,1,1,1
kuraṅgāy,1,1,1,1
kuḍ,1,1,1,1
kālvālīkṛ,1,1,1,1
kāntāy,1,1,1,1
kāṅkṣay,1,1,1,1
kāṅkṣāy,1,1,1,1
kāṇkṣ,1,1,1,1
kīray,1,1,1,1
kśāpay,1,1,1,1
kūḍ,1,1,1,1
kūṇay,1,1,1,1
kūṭay,1,1,1,1
kṛcchrāy,1,1,1,1
kṛpaṇ,1,1,1,1
kṛpaṇy,1,1,1,1
kṛśay,1,1,1,1
kṛṣṇāy,1,1,1,1
kṣayay,1,1,1,1
kṣāmatarīkṛ,1,1,1,1
kṣīrodāy,1,1,1,1
lagay,1,1,1,1
lambāy,1,1,1,1
lasay,1,1,1,1
lavaṇāy,1,1,1,1
lekhāpay,1,1,1,1
lekhāy,1,1,1,1
lilambiṣ,1,1,1,1
lilikṣ,1,1,1,1
lilāpayiṣ,1,1,1,1
lolup,1,1,1,1
lulobhay,1,1,1,1
luñcay,1,1,1,1
lālāpay,1,1,1,1
lālāy,1,1,1,1
lūlup,1,1,1,1
madhukarāy,1,1,1,1
madhuray,1,1,1,1
madhurāy,1,1,1,1
makarāy,1,1,1,1
mamar,1,1,1,1
mandarāy,1,1,1,1
mandākinīpravāhāy,1,1,1,1
marīmṛj,1,1,1,1
mathay,1,1,1,1
maunāy,1,1,1,1
mayūkhāy,1,1,1,1
maṇḍalay,1,1,1,1
maṇṭay,1,1,1,1
mehay,1,1,1,1
mekhalāy,1,1,1,1
melāpay,1,1,1,1
micch,1,1,1,1
mitrīy,1,1,1,1
mokṣāy,1,1,1,1
mraday,1,1,1,1
mrit,1,1,1,1
mumudiṣ,1,1,1,1
mur,1,1,1,1
muṇḍāpay,1,1,1,1
mālyaguṇāy,1,1,1,1
mālāy,1,1,1,1
māmad,1,1,1,1
mānavasy,1,1,1,1
māthay,1,1,1,1
māṇikyavṛkṣakavanāy,1,1,1,1
mīmāṃsay,1,1,1,1
mūkīkṛ,1,1,1,1
mṛc,1,1,1,1
mṛkṣ,1,1,1,1
n,1,1,1,1
nabhaḥkusumāy,1,1,1,1
nadasy,1,1,1,1
nagnaṃkṛ,1,1,1,1
navanavāy,1,1,1,1
naśāy,1,1,1,1
nibhas,1,1,1,1
nidhānīkṛ,1,1,1,1
nidānay,1,1,1,1
nikaṣāy,1,1,1,1
nimnīkṛ,1,1,1,1
nipreṣ,1,1,1,1
niravaji,1,1,1,1
nirayāy,1,1,1,1
nirbhayībhū,1,1,1,1
nirjyā,1,1,1,1
nirutsic,1,1,1,1
nirvivarīkṛ,1,1,1,1
nirvleṣay,1,1,1,1
nirvyañj,1,1,1,1
nirvyūh,1,1,1,1
nirvṛṣ,1,1,1,1
nirṛd,1,1,1,1
niścintay,1,1,1,1
niḥspandīkṛ,1,1,1,1
niṣkrīḍay,1,1,1,1
niṣprekṣ,1,1,1,1
nyarpay,1,1,1,1
nye,1,1,1,1
nyūh,1,1,1,1
nyṛch,1,1,1,1
nāthay,1,1,1,1
nīrandhray,1,1,1,1
nīrogay,1,1,1,1
nīḍay,1,1,1,1
nṛmaṇasy,1,1,1,1
pakṣ,1,1,1,1
pakṣāy,1,1,1,1
palyāy,1,1,1,1
paridṛṃhay,1,1,1,1
parighātay,1,1,1,1
parighāy,1,1,1,1
parigrāhay,1,1,1,1
parijigāṃs,1,1,1,1
parilips,1,1,1,1
parimārg,1,1,1,1
parinirhan,1,1,1,1
parinirvap,1,1,1,1
parinirṇij,1,1,1,1
pariniścintay,1,1,1,1
pariniṣpāday,1,1,1,1
pariprahi,1,1,1,1
pariprajan,1,1,1,1
paripre,1,1,1,1
pariprokṣ,1,1,1,1
pariprokṣay,1,1,1,1
parisamāpay,1,1,1,1
parisamūhay,1,1,1,1
parisaṃhṛṣ,1,1,1,1
parisaṃkṣip,1,1,1,1
parisaṃpat,1,1,1,1
parisaṃplu,1,1,1,1
parisaṃspṛś,1,1,1,1
parisaṃsṛj,1,1,1,1
parisaṃtuṣ,1,1,1,1
parisaṃvāray,1,1,1,1
parisaṃśudh,1,1,1,1
parivirāj,1,1,1,1
pariśāyay,1,1,1,1
pariṣṭambh,1,1,1,1
paruṣay,1,1,1,1
paryavalup,1,1,1,1
paryaṅkhay,1,1,1,1
paryudvij,1,1,1,1
paryunnī,1,1,1,1
paryutpātay,1,1,1,1
paryācikīrṣ,1,1,1,1
paryākulay,1,1,1,1
paryāplu,1,1,1,1
paryāvah,1,1,1,1
paryāṭay,1,1,1,1
parāpruth,1,1,1,1
parāstu,1,1,1,1
parāyāpay,1,1,1,1
pattīyāpay,1,1,1,1
paṅktīkṛ,1,1,1,1
paṇay,1,1,1,1
phalāy,1,1,1,1
phull,1,1,1,1
picchilay,1,1,1,1
piprīṣ,1,1,1,1
pipāyiṣ,1,1,1,1
pitūy,1,1,1,1
piñjaray,1,1,1,1
piśaṅgay,1,1,1,1
piśunay,1,1,1,1
popruth,1,1,1,1
potay,1,1,1,1
prabibhāvayiṣ,1,1,1,1
pradhraj,1,1,1,1
prahāvay,1,1,1,1
prakṣviḍ,1,1,1,1
pramadāy,1,1,1,1
pramanday,1,1,1,1
pramrad,1,1,1,1
pramumodayiṣ,1,1,1,1
prapay,1,1,1,1
prarohay,1,1,1,1
prasaṃcakṣ,1,1,1,1
prasaṃpaś,1,1,1,1
prastarīkṛ,1,1,1,1
prasvar,1,1,1,1
prasā,1,1,1,1
pratibhuj,1,1,1,1
pratidhā,1,1,1,1
pratigup,1,1,1,1
pratiharay,1,1,1,1
pratihiṃkṛ,1,1,1,1
pratimokṣ,1,1,1,1
pratininī,1,1,1,1
pratiniras,1,1,1,1
pratinirji,1,1,1,1
pratinirmā,1,1,1,1
pratiniryātay,1,1,1,1
pratinistṛ,1,1,1,1
pratinivap,1,1,1,1
pratiniṣpū,1,1,1,1
pratinyas,1,1,1,1
pratiprās,1,1,1,1
pratisaṃbodhay,1,1,1,1
pratisaṃbudh,1,1,1,1
pratisaṃcar,1,1,1,1
pratisaṃchad,1,1,1,1
pratisaṃchāday,1,1,1,1
pratisaṃhā,1,1,1,1
pratisaṃhāray,1,1,1,1
pratisaṃjan,1,1,1,1
pratisaṃkrāmay,1,1,1,1
pratisaṃkuñc,1,1,1,1
pratisaṃmiśray,1,1,1,1
pratisaṃsah,1,1,1,1
pratisaṃstambh,1,1,1,1
pratisaṃsthā,1,1,1,1
pratisaṃveṣṭ,1,1,1,1
pratisaṃvid,1,1,1,1
pratisaṃvāray,1,1,1,1
pratisaṃśru,1,1,1,1
prativibhū,1,1,1,1
prativiparī,1,1,1,1
prativivad,1,1,1,1
pratiśāyay,1,1,1,1
pratyabhihiṃkṛ,1,1,1,1
pratyabhihu,1,1,1,1
pratyabhiniryā,1,1,1,1
pratyabhiṣu,1,1,1,1
pratyabhyarcay,1,1,1,1
pratyakṣay,1,1,1,1
pratyapakram,1,1,1,1
pratyatikram,1,1,1,1
pratyavanī,1,1,1,1
pratyavasic,1,1,1,1
pratyudgrah,1,1,1,1
pratyudīr,1,1,1,1
pratyunmiṣ,1,1,1,1
pratyupanah,1,1,1,1
pratyupekṣ,1,1,1,1
pratyupās,1,1,1,1
pratyutpā,1,1,1,1
pratyādṛ,1,1,1,1
pratyākṛ,1,1,1,1
pratyāpān,1,1,1,1
pravinirdhū,1,1,1,1
probh,1,1,1,1
proccaṭ,1,1,1,1
procchal,1,1,1,1
procchvāsay,1,1,1,1
prodghāṭay,1,1,1,1
prodvejay,1,1,1,1
projjval,1,1,1,1
prollikh,1,1,1,1
pronmarday,1,1,1,1
pronmṛj,1,1,1,1
pronnī,1,1,1,1
prothay,1,1,1,1
prottolay,1,1,1,1
proñch,1,1,1,1
prārday,1,1,1,1
prāñj,1,1,1,1
prāṇāy,1,1,1,1
pulināy,1,1,1,1
purobhāvay,1,1,1,1
putriy,1,1,1,1
putrīy,1,1,1,1
puñjaray,1,1,1,1
pānthāy,1,1,1,1
pāpaṭh,1,1,1,1
pātray,1,1,1,1
pāṇḍurīkṛ,1,1,1,1
pāṭalay,1,1,1,1
pīyūṣavarṣāy,1,1,1,1
pūrvapakṣay,1,1,1,1
pūtkṛ,1,1,1,1
pṛkṣ,1,1,1,1
pṛthulay,1,1,1,1
raktasūryāy,1,1,1,1
ramāpay,1,1,1,1
randhanāy,1,1,1,1
rathakām,1,1,1,1
rathirāy,1,1,1,1
rathīy,1,1,1,1
raśanāy,1,1,1,1
rebhāy,1,1,1,1
rekṇasy,1,1,1,1
riph,1,1,1,1
riṅg,1,1,1,1
romāñc,1,1,1,1
roruc,1,1,1,1
rorud,1,1,1,1
rucay,1,1,1,1
ruvaṇy,1,1,1,1
rājapathāy,1,1,1,1
rārap,1,1,1,1
rāsabhāy,1,1,1,1
rāṇ,1,1,1,1
rūpāy,1,1,1,1
sacanasy,1,1,1,1
sacasy,1,1,1,1
samabhibhū,1,1,1,1
samabhivyāp,1,1,1,1
samabhivīkṣ,1,1,1,1
samabhyuddhṛ,1,1,1,1
samabhyudgam,1,1,1,1
samabhyūh,1,1,1,1
samabhīps,1,1,1,1
samadhiropay,1,1,1,1
samadhyas,1,1,1,1
samagray,1,1,1,1
samanveṣay,1,1,1,1
samanvi,1,1,1,1
samary,1,1,1,1
samavakṣi,1,1,1,1
samavavṛt,1,1,1,1
samavekṣay,1,1,1,1
samay,1,1,1,1
samparyāp,1,1,1,1
sampraṇidhā,1,1,1,1
samprer,1,1,1,1
samuccal,1,1,1,1
samucchad,1,1,1,1
samucchvāsay,1,1,1,1
samudbandh,1,1,1,1
samuddhā,1,1,1,1
samuddru,1,1,1,1
samuddīpay,1,1,1,1
samudgranth,1,1,1,1
samudyojay,1,1,1,1
samujjṛmbh,1,1,1,1
samunmīlay,1,1,1,1
samunnad,1,1,1,1
samunnāmay,1,1,1,1
samupagrah,1,1,1,1
samupanṛt,1,1,1,1
samupasaṃkram,1,1,1,1
samupasāday,1,1,1,1
samupaśliṣ,1,1,1,1
samutkalpay,1,1,1,1
samutkleśay,1,1,1,1
samutkūlay,1,1,1,1
samutpiṣ,1,1,1,1
samutpātay,1,1,1,1
samutpīḍay,1,1,1,1
samutpū,1,1,1,1
samutsad,1,1,1,1
samutsarpay,1,1,1,1
samuttras,1,1,1,1
samāman,1,1,1,1
samāvāp,1,1,1,1
samāyu,1,1,1,1
samāñj,1,1,1,1
saniṣvan,1,1,1,1
sanāy,1,1,1,1
sapatnāy,1,1,1,1
saray,1,1,1,1
sarīsṛp,1,1,1,1
sattrāy,1,1,1,1
satvanāy,1,1,1,1
saṃbṛṃh,1,1,1,1
saṃcākaś,1,1,1,1
saṃheṣ,1,1,1,1
saṃhāpay,1,1,1,1
saṃjṛmbhay,1,1,1,1
saṃkranday,1,1,1,1
saṃlaṅghay,1,1,1,1
saṃmukhyas,1,1,1,1
saṃnikṛ,1,1,1,1
saṃnipad,1,1,1,1
saṃnirvā,1,1,1,1
saṃniṣkṛṣ,1,1,1,1
saṃnyāsay,1,1,1,1
saṃpipādayiṣ,1,1,1,1
saṃprajvalay,1,1,1,1
saṃprakṣud,1,1,1,1
saṃpramlā,1,1,1,1
saṃpratipālay,1,1,1,1
saṃpratyah,1,1,1,1
saṃpratyāyay,1,1,1,1
saṃpravā,1,1,1,1
saṃprāpay,1,1,1,1
saṃprārth,1,1,1,1
saṃsphāy,1,1,1,1
saṃsraṃs,1,1,1,1
saṃvaś,1,1,1,1
saṃvici,1,1,1,1
saṃvyavahār,1,1,1,1
saṃvyāp,1,1,1,1
saṃvīkṣ,1,1,1,1
seṣidh,1,1,1,1
siprāy,1,1,1,1
siṃhāy,1,1,1,1
siṣādh,1,1,1,1
skubh,1,1,1,1
smeray,1,1,1,1
soṣav,1,1,1,1
sphar,1,1,1,1
sphuray,1,1,1,1
srambhay,1,1,1,1
sriv,1,1,1,1
stabakay,1,1,1,1
staumay,1,1,1,1
stavay,1,1,1,1
staṃs,1,1,1,1
sthūlasthūṇāghaṭāy,1,1,1,1
stitīrṣ,1,1,1,1
stṛh,1,1,1,1
subhagay,1,1,1,1
sukratūy,1,1,1,1
sup,1,1,1,1
susmūrṣ,1,1,1,1
suvarṇībhū,1,1,1,1
suṣups,1,1,1,1
svadhay,1,1,1,1
svahastay,1,1,1,1
svajanāy,1,1,1,1
svalpaśilāy,1,1,1,1
svatantrīkṛ,1,1,1,1
svād,1,1,1,1
sākṣādbhū,1,1,1,1
sāsah,1,1,1,1
sātīy,1,1,1,1
sāyakāy,1,1,1,1
tandrāy,1,1,1,1
tantas,1,1,1,1
tantasy,1,1,1,1
tanūbhū,1,1,1,1
taptabaḍiśāy,1,1,1,1
taralīkṛ,1,1,1,1
tarjāpay,1,1,1,1
taruṣy,1,1,1,1
taḍ,1,1,1,1
taṃstan,1,1,1,1
taṭ,1,1,1,1
tilvilāy,1,1,1,1
titaṃs,1,1,1,1
titṛts,1,1,1,1
tiḍ,1,1,1,1
tiṣṭhighiṣ,1,1,1,1
tiṣṭhās,1,1,1,1
totud,1,1,1,1
toṣṭuv,1,1,1,1
tudāy,1,1,1,1
tup,1,1,1,1
tuṇḍay,1,1,1,1
tuṣay,1,1,1,1
tvakṣ,1,1,1,1
tvaṃkṛ,1,1,1,1
tāntīkṛ,1,1,1,1
tātap,1,1,1,1
tīkṣṇīkṛ,1,1,1,1
tīmay,1,1,1,1
tūtūrṣ,1,1,1,1
tūṇīrāy,1,1,1,1
u,1,1,1,1
ucchiṣṭīkṛ,1,1,1,1
ucchī,1,1,1,1
uccyāvay,1,1,1,1
uccṛt,1,1,1,1
udah,1,1,1,1
udantīkṛ,1,1,1,1
udany,1,1,1,1
udavāp,1,1,1,1
uddham,1,1,1,1
uddhvā,1,1,1,1
uddṛh,1,1,1,1
udgamay,1,1,1,1
udgarj,1,1,1,1
udrecay,1,1,1,1
udruc,1,1,1,1
udrudh,1,1,1,1
udvas,1,1,1,1
udvelay,1,1,1,1
udvyudas,1,1,1,1
udvṛj,1,1,1,1
udāhvā,1,1,1,1
udāhāray,1,1,1,1
udāsṛ,1,1,1,1
ujjan,1,1,1,1
ujjigīṣ,1,1,1,1
ujjāgaray,1,1,1,1
ujjīv,1,1,1,1
ujjṛmbh,1,1,1,1
ukṣaṇy,1,1,1,1
ullasay,1,1,1,1
ullaṅgh,1,1,1,1
ullekhay,1,1,1,1
ullip,1,1,1,1
ulliṅg,1,1,1,1
ulliṅgay,1,1,1,1
ullok,1,1,1,1
ullolay,1,1,1,1
ulloḍay,1,1,1,1
ulluñc,1,1,1,1
ullāḍay,1,1,1,1
unmarday,1,1,1,1
unmathay,1,1,1,1
unmi,1,1,1,1
unmud,1,1,1,1
unmukulay,1,1,1,1
unmānay,1,1,1,1
unmāpay,1,1,1,1
unmūl,1,1,1,1
unninīṣ,1,1,1,1
upadhāvay,1,1,1,1
upadhṛ,1,1,1,1
upamīv,1,1,1,1
upanamasy,1,1,1,1
upanaś,1,1,1,1
upanirdiś,1,1,1,1
upanirvartay,1,1,1,1
upanī,1,1,1,1
upapalyay,1,1,1,1
upapipādayiṣ,1,1,1,1
upaprāp,1,1,1,1
upardh,1,1,1,1
upasamārabh,1,1,1,1
upasaṃbandh,1,1,1,1
upasaṃbhid,1,1,1,1
upasaṃbhram,1,1,1,1
upasaṃcar,1,1,1,1
upasaṃghuṣ,1,1,1,1
upasaṃjighṛkṣ,1,1,1,1
upasaṃkalpay,1,1,1,1
upasaṃkramay,1,1,1,1
upasaṃkrāmay,1,1,1,1
upasaṃkuñc,1,1,1,1
upasaṃkṣip,1,1,1,1
upasaṃkﾱp,1,1,1,1
upasaṃmṛj,1,1,1,1
upasaṃnyāsay,1,1,1,1
upasaṃrodhay,1,1,1,1
upasaṃruh,1,1,1,1
upasaṃspṛś,1,1,1,1
upasaṃsṛp,1,1,1,1
upasaṃvraj,1,1,1,1
upasaṃyam,1,1,1,1
upasaṃyojay,1,1,1,1
upasaṃyu,1,1,1,1
upasaṃyā,1,1,1,1
upasvar,1,1,1,1
upavid,1,1,1,1
upavyāvṛt,1,1,1,1
upavāday,1,1,1,1
upavīṇay,1,1,1,1
upendh,1,1,1,1
upond,1,1,1,1
upotkṛṣ,1,1,1,1
upotsnā,1,1,1,1
upoṣay,1,1,1,1
upānāyay,1,1,1,1
upārpay,1,1,1,1
upāvapat,1,1,1,1
upāñc,1,1,1,1
utkalāpay,1,1,1,1
utpipatiṣ,1,1,1,1
utprāsay,1,1,1,1
utpuṃsay,1,1,1,1
utpīḍāy,1,1,1,1
utsavay,1,1,1,1
utsavāy,1,1,1,1
utsyand,1,1,1,1
uttaṃsīkṛ,1,1,1,1
uṣṇāy,1,1,1,1
vadhary,1,1,1,1
vadiṣ,1,1,1,1
vairāy,1,1,1,1
vajrāy,1,1,1,1
vakray,1,1,1,1
vakṣay,1,1,1,1
varcay,1,1,1,1
varīvar,1,1,1,1
varīvarjay,1,1,1,1
vasnay,1,1,1,1
vasāy,1,1,1,1
vaṇṭ,1,1,1,1
vehāy,1,1,1,1
vellay,1,1,1,1
vetālalīlāy,1,1,1,1
vevlīy,1,1,1,1
vicalay,1,1,1,1
vicikalpayiṣ,1,1,1,1
vidheyīkṛ,1,1,1,1
vidhūmay,1,1,1,1
vidṛh,1,1,1,1
vihvalīkṛ,1,1,1,1
vijigās,1,1,1,1
vijihās,1,1,1,1
vikrośay,1,1,1,1
vimāthīkṛ,1,1,1,1
vinirbandh,1,1,1,1
vinirbhañj,1,1,1,1
vinirbhrāmay,1,1,1,1
vinirdham,1,1,1,1
vinirgṛ,1,1,1,1
vinirjñā,1,1,1,1
vinirmajj,1,1,1,1
vinirmocay,1,1,1,1
vinirvartay,1,1,1,1
vinirvāsay,1,1,1,1
vinirvṛ,1,1,1,1
viniḥsṛp,1,1,1,1
viniṣkāray,1,1,1,1
viniṣkṛt,1,1,1,1
viniṣpiṇḍay,1,1,1,1
viniṣpāday,1,1,1,1
vinonud,1,1,1,1
viparisṛp,1,1,1,1
vipariṇī,1,1,1,1
vipay,1,1,1,1
vipināy,1,1,1,1
vipramad,1,1,1,1
viprokṣ,1,1,1,1
vipulay,1,1,1,1
visaṃkas,1,1,1,1
vitaṇḍ,1,1,1,1
vithury,1,1,1,1
vivejay,1,1,1,1
vivraj,1,1,1,1
vivyats,1,1,1,1
vivācayiṣ,1,1,1,1
vivṛkṣ,1,1,1,1
viśālay,1,1,1,1
viṣṭhay,1,1,1,1
vrad,1,1,1,1
vrajay,1,1,1,1
vraṇay,1,1,1,1
vyacaskṛ,1,1,1,1
vyapasaṃsṛ,1,1,1,1
vyapekṣ,1,1,1,1
vyapojh,1,1,1,1
vyatisaṃdah,1,1,1,1
vyativartay,1,1,1,1
vyatiśaṅk,1,1,1,1
vyavajihīrṣ,1,1,1,1
vyavalikh,1,1,1,1
vyavasṛ,1,1,1,1
vyavaśātay,1,1,1,1
vyudānī,1,1,1,1
vyutkṛṣ,1,1,1,1
vyābhuj,1,1,1,1
vyādhay,1,1,1,1
vyādhāy,1,1,1,1
vyājvalay,1,1,1,1
vyālabh,1,1,1,1
vyāvap,1,1,1,1
vāgurāy,1,1,1,1
vārttībhū,1,1,1,1
vās,1,1,1,1
vāvac,1,1,1,1
vāyay,1,1,1,1
vīrarasāy,1,1,1,1
vīṅkay,1,1,1,1
vīṅkh,1,1,1,1
vīṅkhay,1,1,1,1
vṛjināy,1,1,1,1
vṛkāy,1,1,1,1
yabh,1,1,1,1
yajñāy,1,1,1,1
yamāy,1,1,1,1
yaṃyam,1,1,1,1
yiyaps,1,1,1,1
yiyaṃs,1,1,1,1
yogāy,1,1,1,1
yūh,1,1,1,1
yūhay,1,1,1,1
ñjay,1,1,1,1
ābharaṇāy,1,1,1,1
ābṛṃh,1,1,1,1
ācikhyās,1,1,1,1
āhvāpay,1,1,1,1
ākaṇ,1,1,1,1
ālay,1,1,1,1
āmahay,1,1,1,1
āpipayiṣ,1,1,1,1
ārogyāpay,1,1,1,1
āsaṃji,1,1,1,1
āsisaṅkṣ,1,1,1,1
ātāray,1,1,1,1
āvaraṇīkṛ,1,1,1,1
āvekṣ,1,1,1,1
āvirdhā,1,1,1,1
āyāpay,1,1,1,1
īhay,1,1,1,1
īj,1,1,1,1
īṃkṛ,1,1,1,1
īṅkh,1,1,1,1
śabalīkṛ,1,1,1,1
śabd,1,1,1,1
śakracāpāy,1,1,1,1
śakrāy,1,1,1,1
śarmay,1,1,1,1
śastray,1,1,1,1
śavalay,1,1,1,1
śaṅkay,1,1,1,1
śaṅkhāy,1,1,1,1
ścal,1,1,1,1
ścam,1,1,1,1
ścyutay,1,1,1,1
ścṛt,1,1,1,1
śekharay,1,1,1,1
śikhāy,1,1,1,1
śithilāy,1,1,1,1
śiśiray,1,1,1,1
ślathāy,1,1,1,1
śodhāpay,1,1,1,1
śrathary,1,1,1,1
śrāpay,1,1,1,1
śubhray,1,1,1,1
śubhāy,1,1,1,1
śuṇ,1,1,1,1
śvasay,1,1,1,1
śvañcay,1,1,1,1
śvetadvīpāy,1,1,1,1
śvetāy,1,1,1,1
śāntay,1,1,1,1
śārīkṛ,1,1,1,1
śīkāy,1,1,1,1
śīrṇay,1,1,1,1
śītalay,1,1,1,1
śūlāy,1,1,1,1
śūrīkṛ,1,1,1,1
śṛṅgāy,1,1,1,1
ūnay,1,1,1,1
ūrdhvīkṛ,1,1,1,1
ūṅkhay,1,1,1,1
ḍhakkay,1,1,1,1
ḍolay,1,1,1,1
ḍī,1,1,1,1
ṇikṣ,1,1,1,1
ṇāday,1,1,1,1
ṣan,1,1,1,1
ṣenay,1,1,1,1
ṣkambhay,1,1,1,1
ṣpluṣ,1,1,1,1
ṣvañj,1,1,1,1
ṣvāday,1,1,1,1
ṣvāpay,1,1,1,1
ṣṇā,1,1,1,1
ṣṭhiv,1,1,1,1
ṭaṅk,1,1,1,1
ṭīk,1,1,1,1
