root,valency,tokens,tier
marjay,7,22,Bivalent
nyubj,7,21,Bivalent
vyac,7,21,Bivalent
śnath,7,21,Bivalent
ṣāday,7,21,Bivalent
samupās,7,20,Bivalent
śrath,7,20,Bivalent
pratisaṃhṛ,7,19,Bivalent
raṭ,7,19,Bivalent
sisṛkṣ,7,18,Bivalent
yācay,7,18,Bivalent
barhay,7,16,Bivalent
bhaṣ,7,16,Bivalent
rūkṣay,7,14,Bivalent
sajjay,7,14,Bivalent
āyay,7,14,Bivalent
ṣkrāmay,7,14,Bivalent
anveṣay,7,13,Bivalent
bādhay,7,12,Bivalent
gāpay,7,12,Bivalent
gūhay,7,12,Bivalent
syanday,7,12,Bivalent
ṣyanday,7,12,Bivalent
kṛś,7,11,Bivalent
pru,7,11,Bivalent
pruth,7,11,Bivalent
rambhay,7,11,Bivalent
yāmay,7,10,Bivalent
kuṭ,7,9,Bivalent
ṣkand,7,8,Bivalent
unnam,6,333,Bivalent
mahīy,6,300,Bivalent
abhipre,6,186,Bivalent
ślāgh,6,186,Bivalent
aṅkay,6,183,Bivalent
