root,valency,tokens,first_consonant,vowel,articulation_place,varga_column,bonding_cluster
ran,13,48,r,a,semivowel,non-varga (semivowel),
stāray,13,39,s,ā,sibilant,non-varga (sibilant),
lambay,13,26,l,a,semivowel,non-varga (semivowel),
dhūnay,13,18,dh,ū,tavarga,C4 (voiced aspirate),
uddhṛ,12,1056,—,u,vowel-initial,non-varga (vowel-initial),
udi,12,960,—,u,vowel-initial,non-varga (vowel-initial),
avekṣ,12,690,—,a,vowel-initial,non-varga (vowel-initial),
vīkṣ,12,497,v,ī,semivowel,non-varga (semivowel),
prārthay,12,424,p,ā,pavarga,C1 (unvoiced unaspirate),
svid,12,397,s,i,sibilant,non-varga (sibilant),
mūrchay,12,369,m,ū,pavarga,C5 (nasal),
parīkṣ,12,349,p,a,pavarga,C1 (unvoiced unaspirate),
lag,12,291,l,a,semivowel,non-varga (semivowel),
rā,12,233,r,ā,semivowel,non-varga (semivowel),
pratīkṣ,12,231,p,a,pavarga,C1 (unvoiced unaspirate),
arjay,12,214,—,a,vowel-initial,non-varga (vowel-initial),
maṇḍay,12,195,m,a,pavarga,C5 (nasal),
klid,12,183,k,i,kavarga,C1 (unvoiced unaspirate),
vañcay,12,181,v,a,semivowel,non-varga (semivowel),
bṛṃhay,12,122,b,ṛ,pavarga,C3 (voiced unaspirate),
yantray,12,110,y,a,semivowel,non-varga (semivowel),
ghūrṇ,12,100,gh,ū,kavarga,C4 (voiced aspirate),
lū,12,96,l,ū,semivowel,non-varga (semivowel),
mand,12,90,m,a,pavarga,C5 (nasal),
cumb,12,77,c,u,cavarga,C1 (unvoiced unaspirate),
gṛdh,12,70,g,ṛ,kavarga,C3 (voiced unaspirate),
dits,12,68,d,i,tavarga,C3 (voiced unaspirate),
śvi,12,68,ś,i,sibilant,non-varga (sibilant),
gopay,12,65,g,o,kavarga,C3 (voiced unaspirate),
vījay,12,65,v,ī,semivowel,non-varga (semivowel),
udghāṭay,12,63,—,u,vowel-initial,non-varga (vowel-initial),
mahay,12,62,m,a,pavarga,C5 (nasal),
bhīṣay,12,51,bh,ī,pavarga,C4 (voiced aspirate),
lāpay,12,41,l,ā,semivowel,non-varga (semivowel),
noday,12,41,n,o,tavarga,C5 (nasal),
paṇ,12,39,p,a,pavarga,C1 (unvoiced unaspirate),
kleday,12,32,k,e,kavarga,C1 (unvoiced unaspirate),
varṣay,12,32,v,a,semivowel,non-varga (semivowel),
kṣāray,12,27,k,ā,kavarga,C1 (unvoiced unaspirate),
lopay,12,26,l,o,semivowel,non-varga (semivowel),
dhits,12,20,dh,i,tavarga,C4 (voiced aspirate),
arh,11,2382,—,a,vowel-initial,non-varga (vowel-initial),60
e,11,1409,—,e,vowel-initial,non-varga (vowel-initial),
adhī,11,887,—,a,vowel-initial,non-varga (vowel-initial),
samprāp,11,804,s,a,sibilant,non-varga (sibilant),
nyas,11,798,n,a,tavarga,C5 (nasal),
alaṃkṛ,11,677,—,a,vowel-initial,non-varga (vowel-initial),
parī,11,581,p,a,pavarga,C1 (unvoiced unaspirate),
ṣkram,11,386,ṣ,a,sibilant,non-varga (sibilant),
kṣan,11,373,k,a,kavarga,C1 (unvoiced unaspirate),
udgā,11,283,—,u,vowel-initial,non-varga (vowel-initial),
dṛh,11,279,d,ṛ,tavarga,C3 (voiced unaspirate),
upekṣ,11,248,—,u,vowel-initial,non-varga (vowel-initial),
karśay,11,224,k,a,kavarga,C1 (unvoiced unaspirate),
vāñch,11,217,v,ā,semivowel,non-varga (semivowel),
mnā,11,198,m,ā,pavarga,C5 (nasal),
preray,11,195,p,e,pavarga,C1 (unvoiced unaspirate),
ṣu,11,159,ṣ,u,sibilant,non-varga (sibilant),
prāpay,11,155,p,ā,pavarga,C1 (unvoiced unaspirate),
dis,11,146,d,i,tavarga,C3 (voiced unaspirate),
ṇāmay,11,143,ṇ,ā,ṭavarga,C5 (nasal),
uccāray,11,139,—,u,vowel-initial,non-varga (vowel-initial),
pāvay,11,137,p,ā,pavarga,C1 (unvoiced unaspirate),
mṛgay,11,108,m,ṛ,pavarga,C5 (nasal),
bhikṣ,11,104,bh,i,pavarga,C4 (voiced aspirate),
kvāthay,11,98,k,ā,kavarga,C1 (unvoiced unaspirate),
so,11,92,s,o,sibilant,non-varga (sibilant),
sūday,11,88,s,ū,sibilant,non-varga (sibilant),
svad,11,84,s,a,sibilant,non-varga (sibilant),
vāś,11,77,v,ā,semivowel,non-varga (semivowel),
prach,11,68,p,a,pavarga,C1 (unvoiced unaspirate),
mah,11,64,m,a,pavarga,C5 (nasal),
aj,11,61,—,a,vowel-initial,non-varga (vowel-initial),
